"Order ID","Position ID","Event","Time (UTC+8)","Volume","Quantity","Type","Entry price","TP","SL","Closing price","Gross profit","Pips","Balance","Equity","Serial #"
"","1","Take Profit Hit","13/03/2026 14:19:00.000","53000","0.53 Lots","Sell","1.15178","1.1499","1.15272","1.14982","103.88","19.6","10 100.26","10 100.26","1"
"","1","Create Position","13/03/2026 10:15:00.000","53000","0.53 Lots","Sell","1.15178","1.1499","1.15272","","0.00","0","-","10 000.00","0"
"","2","Take Profit Hit","13/03/2026 15:49:00.000","77000","0.77 Lots","Sell","1.14721","1.14591","1.14786","1.1458","108.57","14.1","10 203.57","10 281.74","4"
"","2","Create Position","13/03/2026 15:35:00.000","77000","0.77 Lots","Sell","1.14721","1.14591","1.14786","","0.00","0","-","10 100.26","2"
"","3","Take Profit Hit","13/03/2026 16:01:00.000","61000","0.61 Lots","Sell","1.14715","1.14551","1.14797","1.14541","106.14","17.4","10 305.53","10 305.53","5"
"","3","Create Position","13/03/2026 15:40:00.000","61000","0.61 Lots","Sell","1.14715","1.14551","1.14797","","0.00","0","-","10 091.92","3"
"","4","Stop Loss Hit","13/03/2026 18:49:00.000","65000","0.65 Lots","Sell","1.14563","1.14405","1.14642","1.14693","-84.50","-13","10 216.59","10 216.59","7"
"","4","Create Position","13/03/2026 18:40:00.000","65000","0.65 Lots","Sell","1.14563","1.14405","1.14642","","0.00","0","-","10 305.53","6"
"","5","Stop Loss Hit","13/03/2026 21:14:00.000","67000","0.67 Lots","Sell","1.14761","1.14609","1.14837","1.14849","-58.96","-8.8","10 153.05","10 153.05","9"
"","5","Create Position","13/03/2026 21:10:00.000","67000","0.67 Lots","Sell","1.14761","1.14609","1.14837","","0.00","0","-","10 216.59","8"
"","6","Take Profit Hit","13/03/2026 22:16:00.000","71000","0.71 Lots","Sell","1.14869","1.14727","1.1494","1.14717","107.92","15.2","10 256.11","10 308.22","12"
"","6","Create Position","13/03/2026 21:45:00.000","71000","0.71 Lots","Sell","1.14869","1.14727","1.1494","","0.00","0","-","10 153.05","10"
"","7","Take Profit Hit","13/03/2026 22:47:00.000","51000","0.51 Lots","Sell","1.14853","1.14655","1.14952","1.1465","103.53","20.3","10 356.16","10 381.42","14"
"","7","Create Position","13/03/2026 21:50:00.000","51000","0.51 Lots","Sell","1.14853","1.14655","1.14952","","0.00","0","-","10 152.45","11"
"","8","Take Profit Hit","13/03/2026 23:25:00.000","42000","0.42 Lots","Sell","1.14736","1.14492","1.14858","1.14489","103.74","24.7","10 457.02","10 457.02","15"
"","8","Create Position","13/03/2026 22:40:00.000","42000","0.42 Lots","Sell","1.14736","1.14492","1.14858","","0.00","0","-","10 307.20","13"
"","9","Stop Loss Hit","16/03/2026 08:01:00.000","30000","0.30 Lots","Sell","1.14202","1.13864","1.14371","1.14396","-58.20","-19.4","10 396.76","10 396.76","17"
"","9","Create Position","16/03/2026 06:10:00.000","30000","0.30 Lots","Sell","1.14202","1.13864","1.14371","","0.00","0","-","10 457.02","16"
"","10","Stop Loss Hit","16/03/2026 13:35:00.000","58000","0.58 Lots","Buy","1.14453","1.14631","1.14364","1.14362","-52.78","-9.1","10 340.02","10 340.02","19"
"","10","Create Position","16/03/2026 09:40:00.000","58000","0.58 Lots","Buy","1.14453","1.14631","1.14364","","0.00","0","-","10 396.76","18"
"","11","Stop Loss Hit","16/03/2026 14:26:00.000","59000","0.59 Lots","Buy","1.14355","1.14529","1.14268","1.14257","-57.82","-9.8","10 278.16","10 320.04","22"
"","11","Create Position","16/03/2026 14:10:00.000","59000","0.59 Lots","Buy","1.14355","1.14529","1.14268","","0.00","0","-","10 340.02","20"
"","12","Take Profit Hit","16/03/2026 15:36:00.000","72000","0.72 Lots","Sell","1.14346","1.14204","1.14417","1.14172","125.28","17.4","10 325.46","10 325.46","25"
"","12","Create Position","16/03/2026 14:20:00.000","72000","0.72 Lots","Sell","1.14346","1.14204","1.14417","","0.00","0","-","10 330.67","21"
"","13","Stop Loss Hit","16/03/2026 15:36:00.000","55000","0.55 Lots","Buy","1.14288","1.14474","1.14195","1.14162","-69.30","-12.6","10 205.10","10 325.46","24"
"","13","Create Position","16/03/2026 14:45:00.000","55000","0.55 Lots","Buy","1.14288","1.14474","1.14195","","0.00","0","-","10 315.00","23"
"","14","Take Profit Hit","16/03/2026 16:49:00.000","43000","0.43 Lots","Buy","1.14211","1.14447","1.14093","1.14454","104.49","24.3","10 427.01","10 427.01","27"
"","14","Create Position","16/03/2026 15:45:00.000","43000","0.43 Lots","Buy","1.14211","1.14447","1.14093","","0.00","0","-","10 325.46","26"
"","15","Take Profit Hit","16/03/2026 18:25:00.000","47000","0.47 Lots","Buy","1.14534","1.14752","1.14425","1.14765","108.57","23.1","10 532.36","10 532.36","29"
"","15","Create Position","16/03/2026 18:10:00.000","47000","0.47 Lots","Buy","1.14534","1.14752","1.14425","","0.00","0","-","10 427.01","28"
"","16","Stop Loss Hit","16/03/2026 19:24:00.000","43000","0.43 Lots","Sell","1.14703","1.14459","1.14825","1.14825","-52.46","-12.2","10 476.96","10 476.96","31"
"","16","Create Position","16/03/2026 18:35:00.000","43000","0.43 Lots","Sell","1.14703","1.14459","1.14825","","0.00","0","-","10 532.36","30"
"","17","Stop Loss Hit","16/03/2026 23:52:00.000","54000","0.54 Lots","Buy","1.14965","1.15157","1.14869","1.14852","-61.02","-11.3","10 412.24","10 412.24","33"
"","17","Create Position","16/03/2026 23:35:00.000","54000","0.54 Lots","Buy","1.14965","1.15157","1.14869","","0.00","0","-","10 476.96","32"
"","18","Stop Loss Hit","17/03/2026 09:40:00.000","38000","0.38 Lots","Buy","1.15005","1.15273","1.14871","1.14867","-52.44","-13.8","10 232.78","10 191.59","40"
"","18","Create Position","17/03/2026 02:05:00.000","38000","0.38 Lots","Buy","1.15005","1.15273","1.14871","","0.00","0","-","10 412.24","34"
"","19","Stop Loss Hit","17/03/2026 06:37:00.000","67000","0.67 Lots","Buy","1.15089","1.15243","1.15012","1.1501","-52.93","-7.9","10 349.57","10 343.06","36"
"","19","Create Position","17/03/2026 04:00:00.000","67000","0.67 Lots","Buy","1.15089","1.15243","1.15012","","0.00","0","-","10 437.76","35"
"","20","Stop Loss Hit","17/03/2026 08:03:00.000","71000","0.71 Lots","Buy","1.15017","1.15161","1.14945","1.14941","-53.96","-7.6","10 290.75","10 261.66","38"
"","20","Create Position","17/03/2026 06:45:00.000","71000","0.71 Lots","Buy","1.15017","1.15161","1.14945","","0.00","0","-","10 344.80","37"
"","21","Stop Loss Hit","17/03/2026 13:51:00.000","59000","0.59 Lots","Buy","1.14928","1.15102","1.14841","1.1482","-63.72","-10.8","10 142.90","10 226.42","48"
"","21","Create Position","17/03/2026 09:00:00.000","59000","0.59 Lots","Buy","1.14928","1.15102","1.14841","","0.00","0","-","10 252.16","39"
"","22","Take Profit Hit","17/03/2026 13:45:00.000","78000","0.78 Lots","Sell","1.15011","1.14881","1.15076","1.14879","102.96","13.2","10 272.16","10 256.64","46"
"","22","Create Position","17/03/2026 11:35:00.000","78000","0.78 Lots","Sell","1.15011","1.14881","1.15076","","0.00","0","-","10 277.71","41"
"","23","Take Profit Hit","17/03/2026 13:56:00.000","56000","0.56 Lots","Sell","1.14991","1.14811","1.15081","1.14804","104.72","18.7","10 243.78","10 243.78","49"
"","23","Create Position","17/03/2026 11:40:00.000","56000","0.56 Lots","Sell","1.14991","1.14811","1.15081","","0.00","0","-","10 268.37","42"
"","24","Stop Loss Hit","17/03/2026 13:46:00.000","78000","0.78 Lots","Buy","1.14915","1.15045","1.1485","1.14843","-56.16","-7.2","10 210.66","10 230.33","47"
"","24","Create Position","17/03/2026 12:15:00.000","78000","0.78 Lots","Buy","1.14915","1.15045","1.1485","","0.00","0","-","10 323.43","43"
"","25","Stop Loss Hit","17/03/2026 13:44:00.000","54000","0.54 Lots","Buy","1.14984","1.15172","1.1489","1.14883","-54.54","-10.1","10 174.54","10 251.48","45"
