time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
2026-03-04T11:10:00+08:00,1.15992,1.16,1.15968,1.15998,,1.16,1.15968,1.15998
2026-03-04T11:15:00+08:00,1.15997,1.16004,1.15988,1.15993,,1.16004,1.15988,1.15993
2026-03-04T11:20:00+08:00,1.15994,1.16031,1.15987,1.16024,,1.16031,1.15987,1.16024
2026-03-04T11:25:00+08:00,1.16022,1.16029,1.15995,1.15997,,1.16029,1.15995,1.15997
2026-03-04T11:30:00+08:00,1.16,1.16024,1.15984,1.16001,,1.16024,1.15984,1.16001
2026-03-04T11:35:00+08:00,1.16002,1.1604,1.15988,1.16035,,1.1604,1.15988,1.16035
2026-03-04T11:40:00+08:00,1.16036,1.16042,1.16017,1.16023,,1.16042,1.16017,1.16023
2026-03-04T11:45:00+08:00,1.16024,1.16066,1.16018,1.16065,,1.16066,1.16018,1.16065
2026-03-04T11:50:00+08:00,1.16066,1.16087,1.16059,1.16075,,1.16087,1.16059,1.16075
2026-03-04T11:55:00+08:00,1.16074,1.16094,1.16074,1.16085,,1.16094,1.16074,1.16085
2026-03-04T12:00:00+08:00,1.16084,1.16101,1.16083,1.1609,,1.16101,1.16083,1.1609
2026-03-04T12:05:00+08:00,1.16089,1.16104,1.16074,1.16076,,1.16104,1.16074,1.16076
2026-03-04T12:10:00+08:00,1.16075,1.16092,1.16067,1.16087,,1.16092,1.16067,1.16087
2026-03-04T12:15:00+08:00,1.16088,1.161,1.16074,1.16084,,1.161,1.16074,1.16084
2026-03-04T12:20:00+08:00,1.16083,1.16084,1.16052,1.16054,,1.16084,1.16052,1.16054
2026-03-04T12:25:00+08:00,1.16055,1.16061,1.16038,1.1604,,1.16061,1.16038,1.1604
2026-03-04T12:30:00+08:00,1.16041,1.16044,1.16002,1.1601,,1.16044,1.16002,1.1601
2026-03-04T12:35:00+08:00,1.16011,1.16016,1.15974,1.15992,,1.16016,1.15974,1.15992
2026-03-04T12:40:00+08:00,1.15991,1.15993,1.15955,1.15972,,1.15993,1.15955,1.15972
2026-03-04T12:45:00+08:00,1.15971,1.15981,1.15947,1.15951,,1.15981,1.15947,1.15951
2026-03-04T12:50:00+08:00,1.15952,1.15953,1.15904,1.15928,,1.15953,1.15904,1.15928
2026-03-04T12:55:00+08:00,1.15929,1.15949,1.15928,1.1593,,1.15949,1.15928,1.1593
2026-03-04T13:00:00+08:00,1.15927,1.15945,1.15918,1.15926,,1.15945,1.15918,1.15926
2026-03-04T13:05:00+08:00,1.15925,1.15962,1.15923,1.15962,,1.15962,1.15923,1.15962
2026-03-04T13:10:00+08:00,1.15963,1.15991,1.15957,1.15967,,1.15991,1.15957,1.15967
2026-03-04T13:15:00+08:00,1.15966,1.15988,1.15941,1.15944,,1.15988,1.15941,1.15944
2026-03-04T13:20:00+08:00,1.15945,1.15952,1.15918,1.15925,,1.15952,1.15918,1.15925
2026-03-04T13:25:00+08:00,1.15924,1.15925,1.15898,1.15919,,1.15925,1.15898,1.15919
2026-03-04T13:30:00+08:00,1.15921,1.15922,1.15904,1.15907,,1.15922,1.15904,1.15907
2026-03-04T13:35:00+08:00,1.15908,1.15922,1.15896,1.159,,1.15922,1.15896,1.159
2026-03-04T13:40:00+08:00,1.15901,1.15923,1.15879,1.15886,,1.15923,1.15879,1.15886
2026-03-04T13:45:00+08:00,1.15885,1.15942,1.15872,1.15942,,1.15942,1.15872,1.15942
2026-03-04T13:50:00+08:00,1.15947,1.15971,1.15938,1.15963,,1.15971,1.15938,1.15963
2026-03-04T13:55:00+08:00,1.15959,1.15963,1.15915,1.15952,,1.15963,1.15915,1.15952
2026-03-04T14:00:00+08:00,1.15946,1.15948,1.15899,1.15907,,1.15948,1.15899,1.15907
2026-03-04T14:05:00+08:00,1.15907,1.15943,1.159,1.15937,,1.15943,1.159,1.15937
2026-03-04T14:10:00+08:00,1.15937,1.15971,1.15934,1.15949,,1.15971,1.15934,1.15949
2026-03-04T14:15:00+08:00,1.15948,1.15985,1.15942,1.15969,,1.15985,1.15942,1.15969
2026-03-04T14:20:00+08:00,1.1597,1.16015,1.15967,1.15996,,1.16015,1.15967,1.15996
2026-03-04T14:25:00+08:00,1.15998,1.16075,1.15997,1.16057,,1.16075,1.15997,1.16057
2026-03-04T14:30:00+08:00,1.16059,1.16141,1.16057,1.16141,,1.16141,1.16057,1.16141
2026-03-04T14:35:00+08:00,1.1614,1.16157,1.16115,1.16145,,1.16157,1.16115,1.16145
2026-03-04T14:40:00+08:00,1.16145,1.16178,1.16143,1.16152,,1.16178,1.16143,1.16152
2026-03-04T14:45:00+08:00,1.16152,1.16162,1.16117,1.16157,,1.16162,1.16117,1.16157
2026-03-04T14:50:00+08:00,1.16156,1.16157,1.16129,1.16135,,1.16157,1.16129,1.16135
2026-03-04T14:55:00+08:00,1.16136,1.16147,1.16105,1.16108,,1.16147,1.16105,1.16108
2026-03-04T15:00:00+08:00,1.16107,1.16152,1.16107,1.16147,,1.16152,1.16107,1.16147
2026-03-04T15:05:00+08:00,1.16151,1.162,1.16148,1.16179,,1.162,1.16148,1.16179
2026-03-04T15:10:00+08:00,1.16179,1.16182,1.16139,1.16166,,1.16182,1.16139,1.16166
2026-03-04T15:15:00+08:00,1.16165,1.16221,1.16127,1.16141,,1.16221,1.16127,1.16141
2026-03-04T15:20:00+08:00,1.16142,1.16178,1.16129,1.16165,,1.16178,1.16129,1.16165
2026-03-04T15:25:00+08:00,1.16164,1.16232,1.16164,1.16208,,1.16232,1.16164,1.16208
2026-03-04T15:30:00+08:00,1.16219,1.1628,1.16207,1.16244,,1.1628,1.16207,1.16244
2026-03-04T15:35:00+08:00,1.1624,1.16264,1.16214,1.16225,,1.16264,1.16214,1.16225
2026-03-04T15:40:00+08:00,1.16222,1.16252,1.16222,1.16241,,1.16252,1.16222,1.16241
2026-03-04T15:45:00+08:00,1.1624,1.16255,1.16225,1.1624,,1.16255,1.16225,1.1624
2026-03-04T15:50:00+08:00,1.16237,1.16237,1.16187,1.16207,,1.16237,1.16187,1.16207
2026-03-04T15:55:00+08:00,1.16208,1.1621,1.16158,1.16158,,1.1621,1.16158,1.16158
2026-03-04T16:00:00+08:00,1.16163,1.16171,1.16069,1.16082,,1.16171,1.16069,1.16082
2026-03-04T16:05:00+08:00,1.1608,1.16134,1.1607,1.16122,,1.16134,1.1607,1.16122
2026-03-04T16:10:00+08:00,1.16123,1.1613,1.16035,1.16091,,1.1613,1.16035,1.16091
2026-03-04T16:15:00+08:00,1.16089,1.16095,1.16042,1.16051,,1.16095,1.16042,1.16051
2026-03-04T16:20:00+08:00,1.16046,1.16072,1.16015,1.16045,,1.16072,1.16015,1.16045
2026-03-04T16:25:00+08:00,1.16044,1.1605,1.15988,1.1599,,1.1605,1.15988,1.1599
