time,open,high,low,close,Break Major External Up TrendLine,React Major External Up TrendLine,Break Major External Down TrendLine,React Major External Down TrendLine,Break Major Internal Up TrendLine,React Major Internal Up TrendLine,Break Major Internal Down TrendLine,React Major Internal Down TrendLine,Break Minor External Up TrendLine,React Minor External Up TrendLine,Break Minor External Down TrendLine,React Minor External Down TrendLine,Break Minor Internal Up TrendLine,React Minor Internal Up TrendLine,Break Minor Internal Down TrendLine,React Minor Internal Down TrendLine
2026-03-05T18:10:00+08:00,1.16249,1.16272,1.16232,1.16238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T18:15:00+08:00,1.16242,1.16248,1.16202,1.16234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T18:20:00+08:00,1.16232,1.16239,1.16201,1.16202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T18:25:00+08:00,1.16203,1.16216,1.16189,1.16208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T18:30:00+08:00,1.1621,1.16215,1.16149,1.16163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T18:35:00+08:00,1.16164,1.16177,1.16114,1.16123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T18:40:00+08:00,1.16117,1.1612,1.16069,1.16094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T18:45:00+08:00,1.16095,1.16111,1.16067,1.16072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T18:50:00+08:00,1.16074,1.16121,1.16062,1.16108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T18:55:00+08:00,1.16111,1.16145,1.16097,1.1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:00:00+08:00,1.16112,1.16174,1.16065,1.16142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:05:00+08:00,1.16142,1.16155,1.16121,1.16145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:10:00+08:00,1.16144,1.16145,1.1611,1.16144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:15:00+08:00,1.16145,1.16167,1.16106,1.16109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:20:00+08:00,1.1611,1.16127,1.16073,1.16074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:25:00+08:00,1.16075,1.1612,1.16067,1.16087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:30:00+08:00,1.16086,1.16096,1.16059,1.16086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:35:00+08:00,1.16087,1.16109,1.16046,1.1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:40:00+08:00,1.16048,1.1607,1.16037,1.16057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:45:00+08:00,1.16057,1.16088,1.16055,1.16073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:50:00+08:00,1.16074,1.1611,1.16065,1.16081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T19:55:00+08:00,1.1608,1.16124,1.16068,1.16113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:00:00+08:00,1.16114,1.16124,1.16074,1.16084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:05:00+08:00,1.16085,1.16126,1.16081,1.16088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:10:00+08:00,1.16085,1.16102,1.16074,1.1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:15:00+08:00,1.16088,1.16166,1.16087,1.16166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:20:00+08:00,1.16165,1.1624,1.16164,1.16193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:25:00+08:00,1.16188,1.16196,1.16144,1.16172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:30:00+08:00,1.16164,1.16228,1.16157,1.16219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:35:00+08:00,1.16218,1.1625,1.16197,1.16229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:40:00+08:00,1.1623,1.16249,1.16197,1.16199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:45:00+08:00,1.16193,1.1621,1.16145,1.16155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:50:00+08:00,1.16153,1.16162,1.16089,1.16144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T20:55:00+08:00,1.16145,1.16222,1.16137,1.16205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T21:00:00+08:00,1.162,1.16207,1.16172,1.16195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T21:05:00+08:00,1.16186,1.16205,1.16163,1.16183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T21:10:00+08:00,1.16183,1.16246,1.16178,1.16227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-03-05T21:15:00+08:00,1.16226,1.16244,1.16186,1.16202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-03-05T21:20:00+08:00,1.16201,1.16224,1.16115,1.16146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T21:25:00+08:00,1.16142,1.16155,1.16114,1.16133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T21:30:00+08:00,1.16131,1.16136,1.16071,1.1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T21:35:00+08:00,1.16121,1.16121,1.16025,1.16028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T21:40:00+08:00,1.16024,1.16035,1.15981,1.15983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T21:45:00+08:00,1.15984,1.15989,1.15902,1.15922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T21:50:00+08:00,1.15926,1.16003,1.15919,1.15966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T21:55:00+08:00,1.15965,1.15997,1.15955,1.15975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:00:00+08:00,1.15973,1.16056,1.15965,1.16056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:05:00+08:00,1.16055,1.16079,1.16024,1.16069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:10:00+08:00,1.16068,1.16088,1.16001,1.16002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:15:00+08:00,1.16003,1.16025,1.15977,1.16004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:20:00+08:00,1.16005,1.16035,1.15973,1.16004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:25:00+08:00,1.16003,1.16021,1.15976,1.16005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:30:00+08:00,1.16008,1.16075,1.16003,1.16072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:35:00+08:00,1.16069,1.16074,1.15936,1.15947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:40:00+08:00,1.15945,1.16007,1.15934,1.1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:45:00+08:00,1.15952,1.16018,1.15924,1.15999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:50:00+08:00,1.15996,1.16026,1.15972,1.1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T22:55:00+08:00,1.15991,1.16059,1.15982,1.16025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T23:00:00+08:00,1.16029,1.1609,1.16024,1.16067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T23:05:00+08:00,1.16068,1.16073,1.15961,1.15998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T23:10:00+08:00,1.16,1.16011,1.15957,1.1601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T23:15:00+08:00,1.16007,1.16025,1.15888,1.15921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05T23:20:00+08:00,1.1592,1.15936,1.15867,1.15875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
