time,open,high,low,close,Ultra High Volume,Very High Volume,High Volume,Trend MA,High Taken,Low Taken,High Taken (no text),Low Taken (no text),#1,#2,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Swing High,Swing Low,Turtle Soup Buy Auto,Turtle Soup Sell Auto,Turtle Soup Buy Huge,Turtle Soup Sell Huge,Turtle Soup Buy Large,Turtle Soup Sell Large,Turtle Soup Buy Normal,Turtle Soup Sell Normal,Turtle Soup Buy Small,Turtle Soup Sell Small,Turtle Soup Buy Tiny,Turtle Soup Sell Tiny,Plot,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),TF1 Trend,TF2 Trend,TF3 Trend,TF4 Trend
2025-12-25T01:20:00+08:00,4483.58,4484.89,4477.41,4478.59,,,,,,,,,4486.01,4338.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3320.8,3321.67,3316.08,3316.96,3,2,1,0
2025-12-25T01:25:00+08:00,4478.61,4479.76,4476.33,4478.02,,,,,,,,,4486.01,4338.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3317.16,3317.76,3315.23,3316.1,3,2,1,0
2025-12-25T01:30:00+08:00,4478.22,4483.24,4478.22,4482.4,,,,,,,,,4486.01,4338.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3316,3319.43,3316,3318.84,3,2,1,0
2025-12-25T01:35:00+08:00,4482.45,4483.21,4477.41,4479.13,,,,,,,,,4486.01,4338.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3318.88,3319.54,3315.32,3316.46,3,2,1,0
2025-12-25T01:40:00+08:00,4479.14,4480.71,4477.85,4479.43,,,,,,,,,4486.01,4338.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3316.39,3317.78,3315.75,3317.36,3,2,1,0
2025-12-25T01:45:00+08:00,4479.57,4483.72,4479.33,4481.49,,,,,,,,,4486.01,4338.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3317.49,3320.4,3317.35,3318.9,3,2,1,0
2025-12-25T01:50:00+08:00,4481.31,4482.57,4480.06,4480.47,,,,,,,,,4486.01,4338.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3318.8,3320.1,3318.24,3318.71,3,2,1,0
2025-12-25T01:55:00+08:00,4480.36,4482.83,4479.58,4480.57,,,,,,,,,4486.01,4338.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3318.68,3322.01,3318.16,3319.32,3,2,1,0
2025-12-25T02:00:00+08:00,4480.62,4481.62,4478.59,4480.47,,,,,,,,,4486.01,4338.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3319.38,3320.74,3318.49,3319.42,3,2,1,0
2025-12-25T02:05:00+08:00,4480.51,4480.51,4477.3,4477.77,,,,,,,,,4486.01,4338.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3319.31,3319.31,3316.96,3317.3,3,2,1,0
