"Order ID","Position ID","Event","Time (UTC+8)","Volume","Quantity","Type","Entry price","TP","SL","Closing price","Gross profit","Pips","Balance","Equity","Serial #"
"","1","Create Position","13/03/2026 08:40:00.000","42000","0.42 Lots","Sell","1.15233","1.14995","1.15352","","0.00","0","-","10 000.00","0"
"","2","Create Position","13/03/2026 10:05:00.000","54000","0.54 Lots","Buy","1.15192","1.15374","1.15101","","0.00","0","-","10 014.34","1"
"","3","Create Position","13/03/2026 10:55:00.000","49000","0.49 Lots","Buy","1.15149","1.15351","1.15048","","0.00","0","-","10 000.08","2"
"","2","Stop Loss Hit","13/03/2026 11:15:00.000","54000","0.54 Lots","Buy","1.15192","1.15374","1.15101","1.15096","-51.84","-9.6","9 944.46","9 965.87","3"
"","3","Stop Loss Hit","13/03/2026 11:37:00.000","49000","0.49 Lots","Buy","1.15149","1.15351","1.15048","1.15046","-50.47","-10.3","9 890.63","9 959.57","4"
"","1","Take Profit Hit","13/03/2026 14:18:00.000","42000","0.42 Lots","Sell","1.15233","1.14995","1.15352","1.14995","99.96","23.8","9 987.71","9 987.71","5"
"","4","Create Position","16/03/2026 08:45:00.000","43000","0.43 Lots","Sell","1.14508","1.14278","1.14623","","0.00","0","-","9 987.71","6"
"","5","Create Position","16/03/2026 09:05:00.000","32000","0.32 Lots","Sell","1.14508","1.14202","1.14661","","0.00","0","-","9 980.47","7"
"","4","Take Profit Hit","16/03/2026 14:26:00.000","43000","0.43 Lots","Sell","1.14508","1.14278","1.14623","1.14267","103.63","24.1","10 088.40","10 158.86","8"
"","5","Take Profit Hit","16/03/2026 15:36:00.000","32000","0.32 Lots","Sell","1.14508","1.14202","1.14661","1.14172","107.52","33.6","10 193.74","10 193.74","9"
"","6","Create Position","16/03/2026 17:10:00.000","45000","0.45 Lots","Buy","1.14449","1.14675","1.14336","","0.00","0","-","10 193.74","10"
"","6","Take Profit Hit","16/03/2026 18:20:00.000","45000","0.45 Lots","Buy","1.14449","1.14675","1.14336","1.14677","102.60","22.8","10 293.26","10 293.26","11"
"","7","Create Position","16/03/2026 18:35:00.000","38000","0.38 Lots","Sell","1.14703","1.14439","1.14835","","0.00","0","-","10 293.26","12"
"","7","Stop Loss Hit","16/03/2026 19:45:00.000","38000","0.38 Lots","Sell","1.14703","1.14439","1.14835","1.14837","-50.92","-13.4","10 239.74","10 239.74","13"
"","8","Create Position","17/03/2026 03:45:00.000","42000","0.42 Lots","Sell","1.15118","1.14876","1.15239","","0.00","0","-","10 239.74","14"
"","8","Take Profit Hit","17/03/2026 09:42:00.000","42000","0.42 Lots","Sell","1.15118","1.14876","1.15239","1.14876","101.64","24.2","10 339.84","10 341.18","15"
"","9","Create Position","17/03/2026 22:20:00.000","55000","0.55 Lots","Sell","1.15256","1.1507","1.15349","","0.00","0","-","10 339.84","16"
"","9","Stop Loss Hit","17/03/2026 22:45:00.000","55000","0.55 Lots","Sell","1.15256","1.1507","1.15349","1.15365","-59.95","-10.9","10 276.13","10 276.13","17"
"","10","Create Position","18/03/2026 21:25:00.000","35000","0.35 Lots","Buy","1.15047","1.15339","1.14901","","0.00","0","-","10 276.13","18"
"","10","Stop Loss Hit","19/03/2026 02:46:00.000","35000","0.35 Lots","Buy","1.15047","1.15339","1.14901","1.14898","-52.15","-14.9","10 221.58","10 221.58","19"
"","11","Create Position","19/03/2026 03:05:00.000","50000","0.50 Lots","Buy","1.14827","1.15029","1.14726","","0.00","0","-","10 221.58","20"
"","11","Stop Loss Hit","19/03/2026 03:24:00.000","50000","0.50 Lots","Buy","1.14827","1.15029","1.14726","1.1471","-58.50","-11.7","10 159.66","10 159.66","21"
"","12","Create Position","19/03/2026 03:35:00.000","37000","0.37 Lots","Buy","1.14806","1.15074","1.14672","","0.00","0","-","10 159.66","22"
"","12","Stop Loss Hit","19/03/2026 04:06:00.000","37000","0.37 Lots","Buy","1.14806","1.15074","1.14672","1.1467","-50.32","-13.6","10 106.80","10 106.80","23"
"","13","Create Position","19/03/2026 04:45:00.000","37000","0.37 Lots","Buy","1.1456","1.1483","1.14425","","0.00","0","-","10 106.80","24"
"","13","Take Profit Hit","19/03/2026 09:38:00.000","37000","0.37 Lots","Buy","1.1456","1.1483","1.14425","1.14838","102.86","27.8","10 198.57","10 190.02","25"
"","14","Create Position","19/03/2026 16:20:00.000","27000","0.27 Lots","Buy","1.14564","1.14934","1.14379","","0.00","0","-","10 198.57","26"
