trade_num,direction,entry_time_utc,entry,stop_loss,take_profit,pnl,result,signal,entry_time_hk
1,SHORT,2025-11-27T01:35:00,4153.42,4168.08,4124.1,-200.0,LOSS,ICT_Setup01,2025-11-27 09:35:00 HKT
2,LONG,2025-12-01T09:40:00,4247.63,4238.39,4266.11,-200.0,LOSS,ICT_Setup01,2025-12-01 17:40:00 HKT
3,SHORT,2025-12-01T20:05:00,4235.75,4243.77,4219.71,400.0,WIN,ICT_Setup01,2025-12-02 04:05:00 HKT
4,SHORT,2025-12-02T02:10:00,4219.09,4229.74,4197.79,400.0,WIN,ICT_Setup01,2025-12-02 10:10:00 HKT
5,SHORT,2025-12-02T16:20:00,4176.44,4230.55,4068.22,-200.0,LOSS,ICT_Setup01,2025-12-03 00:20:00 HKT
6,LONG,2025-12-03T02:25:00,4223.26,4213.14,4243.5,-200.0,LOSS,ICT_Setup01,2025-12-03 10:25:00 HKT
7,SHORT,2025-12-03T18:30:00,4205.69,4215.41,4186.25,-200.0,LOSS,ICT_Setup01,2025-12-04 02:30:00 HKT
8,SHORT,2025-12-04T02:15:00,4203.36,4216.81,4176.46,400.0,WIN,ICT_Setup01,2025-12-04 10:15:00 HKT
9,SHORT,2025-12-04T02:30:00,4202.28,4216.81,4173.22,-200.0,LOSS,ICT_Setup01,2025-12-04 10:30:00 HKT
10,SHORT,2025-12-05T02:30:00,4198.43,4204.65,4185.99,-200.0,LOSS,ICT_Setup01,2025-12-05 10:30:00 HKT
11,SHORT,2025-12-05T02:35:00,4198.74,4204.65,4186.92,-200.0,LOSS,ICT_Setup01,2025-12-05 10:35:00 HKT
12,LONG,2025-12-05T09:55:00,4223.45,4215.7,4238.95,400.0,WIN,ICT_Setup01,2025-12-05 17:55:00 HKT
13,LONG,2025-12-05T14:35:00,4232.83,4221.31,4255.87,400.0,WIN,ICT_Setup01,2025-12-05 22:35:00 HKT
14,SHORT,2025-12-08T15:25:00,4191.89,4211.56,4152.55,-200.0,LOSS,ICT_Setup01,2025-12-08 23:25:00 HKT
15,SHORT,2025-12-08T15:30:00,4189.29,4211.56,4144.75,-200.0,LOSS,ICT_Setup01,2025-12-08 23:30:00 HKT
16,SHORT,2025-12-08T19:35:00,4187.57,4192.04,4178.63,-200.0,LOSS,ICT_Setup01,2025-12-09 03:35:00 HKT
17,LONG,2025-12-09T20:25:00,4210.67,4207.1,4217.81,-200.0,LOSS,ICT_Setup01,2025-12-10 04:25:00 HKT
18,SHORT,2025-12-10T07:05:00,4207.5,4214.34,4193.82,400.0,WIN,ICT_Setup01,2025-12-10 15:05:00 HKT
19,LONG,2025-12-11T20:50:00,4274.18,4264.43,4293.68,400.0,WIN,ICT_Setup01,2025-12-12 04:50:00 HKT
20,LONG,2025-12-12T01:55:00,4270.9,4264.48,4283.74,400.0,WIN,ICT_Setup01,2025-12-12 09:55:00 HKT
21,LONG,2025-12-12T07:40:00,4287.56,4266.15,4330.38,400.0,WIN,ICT_Setup01,2025-12-12 15:40:00 HKT
22,LONG,2025-12-15T19:15:00,4314.21,4299.87,4342.89,-200.0,LOSS,ICT_Setup01,2025-12-16 03:15:00 HKT
23,SHORT,2025-12-16T02:05:00,4310.31,4317.81,4295.31,400.0,WIN,ICT_Setup01,2025-12-16 10:05:00 HKT
24,LONG,2025-12-16T14:35:00,4328.77,4273.74,4438.83,400.0,WIN,ICT_Setup01,2025-12-16 22:35:00 HKT
25,LONG,2025-12-16T14:40:00,4326.32,4273.74,4431.48,400.0,WIN,ICT_Setup01,2025-12-16 22:40:00 HKT
26,LONG,2025-12-16T15:00:00,4329.61,4273.74,4441.35,400.0,WIN,ICT_Setup01,2025-12-16 23:00:00 HKT
27,LONG,2025-12-17T16:55:00,4333.59,4320.5,4359.77,-200.0,LOSS,ICT_Setup01,2025-12-18 00:55:00 HKT
28,LONG,2025-12-18T02:15:00,4334.08,4324.56,4353.12,-200.0,LOSS,ICT_Setup01,2025-12-18 10:15:00 HKT
29,LONG,2025-12-18T16:55:00,4360.41,4308.51,4464.21,400.0,WIN,ICT_Setup01,2025-12-19 00:55:00 HKT
30,SHORT,2025-12-18T19:30:00,4331.5,4341.33,4311.84,400.0,WIN,ICT_Setup01,2025-12-19 03:30:00 HKT
31,LONG,2025-12-18T20:45:00,4335.72,4322.81,4361.54,-200.0,LOSS,ICT_Setup01,2025-12-19 04:45:00 HKT
32,SHORT,2025-12-19T01:55:00,4323.3,4336.92,4296.06,-200.0,LOSS,ICT_Setup01,2025-12-19 09:55:00 HKT
33,SHORT,2025-12-19T03:30:00,4321.44,4328.03,4308.26,-200.0,LOSS,ICT_Setup01,2025-12-19 11:30:00 HKT
34,SHORT,2025-12-19T08:20:00,4323.53,4329.7,4311.19,-200.0,LOSS,ICT_Setup01,2025-12-19 16:20:00 HKT
