time_utc,time_hk,direction,signal_type,rejection_reason,filter_htf_poi,filter_trend,filter_time
2025-11-26 13:45:00+00:00,2025-11-26 21:45:00 HKT,SHORT,Fib_OTE,Time Filter (ICT session not active),True,True,False
2025-11-26 14:00:00+00:00,2025-11-26 22:00:00 HKT,LONG,Fib_OTE,Trend Filter (15M/1H bias not aligned),True,False,False
2025-11-26 14:10:00+00:00,2025-11-26 22:10:00 HKT,LONG,Fib_OTE,Trend Filter (15M/1H bias not aligned),True,False,False
2025-11-26 15:05:00+00:00,2025-11-26 23:05:00 HKT,LONG,Fib_OTE,Trend Filter (15M/1H bias not aligned),True,False,True
2025-11-26 16:55:00+00:00,2025-11-27 00:55:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,True
2025-11-26 19:10:00+00:00,2025-11-27 03:10:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,True
2025-11-26 19:15:00+00:00,2025-11-27 03:15:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-11-26 20:20:00+00:00,2025-11-27 04:20:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-11-26 21:35:00+00:00,2025-11-27 05:35:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-11-26 23:25:00+00:00,2025-11-27 07:25:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-11-26 23:30:00+00:00,2025-11-27 07:30:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-11-26 23:45:00+00:00,2025-11-27 07:45:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-11-26 23:55:00+00:00,2025-11-27 07:55:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-11-27 00:45:00+00:00,2025-11-27 08:45:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-11-27 04:45:00+00:00,2025-11-27 12:45:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,True
2025-11-27 05:45:00+00:00,2025-11-27 13:45:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-11-27 06:05:00+00:00,2025-11-27 14:05:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-11-27 10:25:00+00:00,2025-11-27 18:25:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-11-27 11:05:00+00:00,2025-11-27 19:05:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-11-27 13:30:00+00:00,2025-11-27 21:30:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-11-27 13:50:00+00:00,2025-11-27 21:50:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-11-27 16:45:00+00:00,2025-11-28 00:45:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
