/workspace/S1_Silver_Bullet/Silver_bullet_backtrader.py:525: RuntimeWarning: CISD sweep detection failed; defaulting to no CISD signals. Error: list index out of range
  warnings.warn(

================================================================================
Starting Portfolio Value: $10000.00
================================================================================

2025-11-26T13:45:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-11-26T14:00:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-11-26T14:10:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-11-26T15:05:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-11-26T16:55:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-11-26T19:10:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-11-27T01:35:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-11-27T04:45:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-11-27T13:50:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-11-28T01:25:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-11-28T05:05:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-11-28T06:55:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-11-28T07:00:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-11-28T18:05:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-01T00:05:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-01T06:30:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-01T09:40:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-01T10:40:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-01T11:20:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-01T20:05:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-02T02:05:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-02T02:10:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-02T02:30:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-02T06:50:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-02T06:55:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-02T10:25:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-02T12:20:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-02T16:20:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-02T16:50:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-02T21:05:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-03T01:30:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-03T02:25:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-03T06:05:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-03T12:20:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-03T12:50:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-03T13:35:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-03T16:35:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-03T17:20:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-03T18:30:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-03T20:00:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-03T23:05:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-03T23:20:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-04T02:15:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-04T02:30:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-04T06:30:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-04T06:45:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-04T10:10:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-04T10:30:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-04T11:35:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
