time,open,high,low,close,smz_trend_15m,smz_trend_1h,smz_trend_4h,smz_trend_1d,poi_high_bull,poi_high_bear,poi_mid_bull,poi_mid_bear,htf_fvg_1h_bull,htf_fvg_1h_bear,htf_fvg_4h_bull,htf_fvg_4h_bear,smc_liquidity_high,smc_liquidity_low,liq_buyside_target,liq_sellside_target,asia_session_high,asia_session_low,london_session_high,london_session_low,ny_session_high,ny_session_low,pd_high,pd_low,pd_mid,daily_mid_50,true_day_open,crt_buy_signal,crt_sell_signal,sb_sig_ln,sb_sig_am,sb_sig_pm,sb_lux_ln,sb_lux_am,sb_lux_pm,sb_or_range,sb_trading_range,htf_sweep_4h_bull,htf_sweep_4h_bear,htf_sweep_1d_bull,htf_sweep_1d_bear,liquidity_sweep_bull,liquidity_sweep_bear,choch_bull,choch_bear,cisd_bull,cisd_bear,mss_bull,mss_bear,fvg_sb_bull,fvg_sb_bear,fvg_smz_bull,fvg_smz_bear,fvg_bpr_bull,fvg_bpr_bear,mss_fvg_bull,mss_fvg_bear,entry_sb_bull,entry_sb_bear,entry_setup01_bull,entry_setup01_bear,entry_ote_bull,entry_ote_bear,entry_fvg_bull,entry_fvg_bear,bb_pivot_high,bb_pivot_low,stop_loss_bull,stop_loss_bear,target_bull,target_bear
2025-11-26 13:40:00,4158.67,4159.14,4153.35,4153.96,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5595.18,5098.65,0.0,4156.245000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4136.84
2025-11-26 13:45:00,4153.85,4156.7,4151.26,4151.29,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5595.18,5098.65,0.0,4155.200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,0.0,0.0,5595.18,4136.84
2025-11-26 13:50:00,4151.3,4152.88,4149.24,4152.11,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5595.18,5098.65,0.0,4154.1900000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4136.84
2025-11-26 13:55:00,4152.1,4153.66,4149.12,4153.4,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5595.18,5098.65,0.0,4154.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4136.84
2025-11-26 14:00:00,4153.48,4156.77,4151.68,4156.39,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5595.18,5098.65,0.0,4154.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0.0,0.0,5595.18,4136.84
2025-11-26 14:05:00,4156.49,4156.9,4140.01,4146.98,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5595.18,5098.65,0.0,4149.575000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4136.84
2025-11-26 14:10:00,4146.87,4148.38,4143.31,4147.39,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5595.18,5098.65,0.0,4149.575000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0.0,0.0,5595.18,4136.84
2025-11-26 14:15:00,4147.38,4149.56,4144.73,4147.59,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5595.18,5098.65,0.0,4149.575000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4136.84
2025-11-26 14:20:00,4147.61,4149.32,4143.79,4144.94,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5595.18,5098.65,0.0,4149.575000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4136.84
2025-11-26 14:25:00,4144.87,4147.29,4141.71,4141.72,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5595.18,5098.65,0.0,4149.575000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4136.84
