12:2025-11-27T01:35:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
22:2025-12-01T09:40:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
33:2025-12-02T16:20:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
44:2025-12-03T18:30:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
48:2025-12-04T02:15:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
49:2025-12-04T02:30:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
56:2025-12-05T02:30:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
57:2025-12-05T02:35:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
59:2025-12-05T09:55:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
63:2025-12-05T14:35:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
68:2025-12-08T15:25:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
69:2025-12-08T15:30:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
70:2025-12-08T19:35:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
76:2025-12-09T20:25:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
83:2025-12-11T20:50:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
84:2025-12-12T01:55:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
85:2025-12-12T07:40:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
94:2025-12-16T02:05:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
96:2025-12-16T14:35:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
97:2025-12-16T14:40:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
98:2025-12-16T15:00:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
105:2025-12-17T16:55:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
110:2025-12-18T16:55:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
115:2025-12-19T01:55:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
116:2025-12-19T03:30:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
117:2025-12-19T08:20:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
122:2025-12-22T04:00:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
129:2025-12-23T02:50:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
132:2025-12-23T18:35:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
133:2025-12-24T01:35:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
146:2025-12-26T16:10:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
151:2025-12-29T07:20:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
154:2025-12-29T09:15:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
170:2025-12-30T19:45:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
